"ommodity-wise, Market-wise Daily Report on : 14/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Angamaly,0.5,Tonnes,NR,Amphophalus,2500,3100,2800,Rs/Quintal
Aroor,0.1,Tonnes,NR,Amphophalus,2000,2200,2100,Rs/Quintal
Chengannur,2.5,Tonnes,NR,Other,2300,2600,2500,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Amphophalus,1600,2300,1800,Rs/Quintal
Harippad,2,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Kanjirappally,1.75,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Kayamkulam,2,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Keezhampara,0.5,Tonnes,NR,Amphophalus,1800,2000,1900,Rs/Quintal
Kollam,0.5,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2600,2800,2700,Rs/Quintal
Kottakkal,3,Tonnes,NR,Other,2100,2200,2150,Rs/Quintal
Kottarakkara,0.12,Tonnes,NR,Other,3100,3500,3300,Rs/Quintal
Madhavapuram,2,Tonnes,NR,Other,2800,3200,3100,Rs/Quintal
Mannar,1,Tonnes,NR,Other,3000,3300,3200,Rs/Quintal
Moovattupuzha,4,Tonnes,NR,Other,2650,2900,2750,Rs/Quintal
Mukkom,0.8,Tonnes,NR,Amphophalus,3000,3400,3200,Rs/Quintal
Neeleswaram,0.9,Tonnes,NR,Other,3800,4200,4000,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amphophalus,2300,2500,2400,Rs/Quintal
Palayam,10,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Parappanangadi,1,Tonnes,NR,Other,2500,3150,2950,Rs/Quintal
Perinthalmanna,2.1,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Piravam,0.05,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Quilandy,0.6,Tonnes,NR,Other,2200,2500,2400,Rs/Quintal
Thamarassery,0.06,Tonnes,NR,Other,2200,3300,2500,Rs/Quintal
Thirurrangadi,0.6,Tonnes,NR,Amphophalus,2500,2850,2650,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Thrippunithura,0.7,Tonnes,NR,Amphophalus,3000,4000,3400,Rs/Quintal
Punjab,,,,,,,,
Kurali,0.2,Tonnes,NR,Amphophalus,1950,2060,2000,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Gogamba(Similiya),2.1,Tonnes,NR,Other,1560,1580,1570,Rs/Quintal
Khambhat(Grain Market),0.1,Tonnes,NR,Other,1860,1900,1880,Rs/Quintal
Karnataka,,,,,,,,
Bangalore,13,Tonnes,NR,Hybrid,2000,2400,2200,Rs/Quintal
Basava Kalayana,NR,Tonnes,NR,Local,1741,1741,1741,Rs/Quintal
Bellary,1.2,Tonnes,NR,Hybrid,1612,1929,1775,Rs/Quintal
Bijapur,3,Tonnes,NR,Hybrid,1700,1900,1800,Rs/Quintal
Hungund,20,Tonnes,NR,Local,1600,1600,1600,Rs/Quintal
Koppal,12,Tonnes,NR,Hybrid,1660,1754,1707,Rs/Quintal
Kottur,4,Tonnes,NR,Hybrid,1723,1763,1753,Rs/Quintal
Kustagi,50,Tonnes,NR,Hybrid,1730,1730,1730,Rs/Quintal
Lingasugur,37,Tonnes,NR,Hybrid,1800,1900,1900,Rs/Quintal
Madhya Pradesh,,,,,,,,
Ambaha,10.5,Tonnes,NR,Other,1614,1620,1618,Rs/Quintal
