"Commodity-wise, Market-wise Daily Report on : 30/01/2019 NR : Not Reported",,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Cereals,,,,,,,,
Amphophalus,,,,,,,,
Kerala,,,,,,,,
Alappuzha,1,Tonnes,NR,Other,2700,2800,2750,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Amphophalus,2400,2800,2600,Rs/Quintal
Aralamoodu,1.5,Tonnes,NR,Amphophalus,3000,3000,3000,Rs/Quintal
Aroor,0.1,Tonnes,NR,Amphophalus,2600,2800,2700,Rs/Quintal
Chengannur,2,Tonnes,NR,Other,2900,3200,3000,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Amphophalus,1200,1700,1500,Rs/Quintal
Harippad,1,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Kollam,0.5,Tonnes,NR,Other,2200,2600,2400,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,2600,2800,2700,Rs/Quintal
Kottakkal,3,Tonnes,NR,Other,2100,2200,2150,Rs/Quintal
Madhavapuram,2.3,Tonnes,NR,Other,3200,3500,3400,Rs/Quintal
Mannar,1,Tonnes,NR,Other,3500,3800,3600,Rs/Quintal
Mukkom,0.6,Tonnes,NR,Amphophalus,1600,2000,1800,Rs/Quintal
Neeleswaram,0.9,Tonnes,NR,Other,3800,4200,4000,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amphophalus,2500,3000,2700,Rs/Quintal
Palayam,10,Tonnes,NR,Other,1900,2100,2000,Rs/Quintal
Parappanangadi,1,Tonnes,NR,Other,2500,2750,2650,Rs/Quintal
Perinthalmanna,2.3,Tonnes,NR,Amphophalus,2800,3200,3000,Rs/Quintal
Piravam,0.05,Tonnes,NR,Other,2500,3500,3000,Rs/Quintal
Pothencode,2,Tonnes,NR,Other,4500,5500,5000,Rs/Quintal
Quilandy,0.5,Tonnes,NR,Other,2300,2500,2400,Rs/Quintal
Thirurrangadi,0.5,Tonnes,NR,Amphophalus,2850,3000,2950,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Thrippunithura,0.7,Tonnes,NR,Amphophalus,3000,4000,3400,Rs/Quintal
Punjab,,,,,,,,
Adampur,0.1,Tonnes,NR,Other,2000,2200,2200,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.2,Tonnes,NR,Other,1500,2500,2200,Rs/Quintal
Bajra(Pearl Millet/Cumbu),,,,,,,,
Gujarat,,,,,,,,
Amreli,0.1,Tonnes,NR,Other,1905,1905,1905,Rs/Quintal
Bhavnagar,0.7,Tonnes,NR,Local,2150,2150,2150,Rs/Quintal
Deesa,57,Tonnes,NR,Other,1950,2010,1985,Rs/Quintal
Deesa(Bhildi),23.8,Tonnes,NR,Other,1975,1995,1985,Rs/Quintal
Dehgam,3.9,Tonnes,NR,Other,2030,2085,2057,Rs/Quintal
Derol,0.5,Tonnes,NR,Other,1610,1640,1620,Rs/Quintal
Derol(Adadara),0.3,Tonnes,NR,Other,1585,1610,1600,Rs/Quintal
Derol(Vejalpur),0.4,Tonnes,NR,Other,1580,1600,1590,Rs/Quintal
Dhanera,44,Tonnes,NR,Hybrid,1955,2375,2165,Rs/Quintal
Dhansura,0.5,Tonnes,NR,Hybrid,1700,1925,1900,Rs/Quintal
Gogamba(Similiya),0.2,Tonnes,NR,Other,1650,1725,1700,Rs/Quintal
Jasdan,0.5,Tonnes,NR,Deshi,1500,2075,1825,Rs/Quintal
Kapadvanj,1.8,Tonnes,NR,Hybrid,1700,1900,1800,Rs/Quintal
Khambhat(Grain Market),2.5,Tonnes,NR,Other,1940,2020,1980,Rs/Quintal
