MARKET_NAME,Market_Address_Line1,Market_Address_Line2, Market_town , Market_City, Market_District, Market_Pincode
Lalitpur,Address_line1,Address_line_2,Lalitpur,Lalitpur,Lalitpur,600001
Nokha,Address_line2,Address_line_3,Nokha,Nokha,Nokha,600002
Pukhrayan,Address_line3,Address_line_4,Pukhrayan,Pukhrayan,Pukhrayan,600003
Fatehnagar,Address_line4,Address_line_5,Fatehnagar,Fatehnagar,Fatehnagar,600004
Sandi,Address_line5,Address_line_6,Sandi,Sandi,Sandi,600005
Rajnagar,Address_line6,Address_line_7,Rajnagar,Rajnagar,Rajnagar,600006
Sridungargarh,Address_line7,Address_line_8,Sridungargarh,Sridungargarh,Sridungargarh,600007
Nadiyad(Piplag),Address_line8,Address_line_9,Nadiyad(Piplag),Nadiyad(Piplag),Nadiyad(Piplag),600008
Kalvan,Address_line9,Address_line_10,Kalvan,Kalvan,Kalvan,600009
Banaganapalli,Address_line10,Address_line_11,Banaganapalli,Banaganapalli,Banaganapalli,600010
Khunthabandha,Address_line11,Address_line_12,Khunthabandha,Khunthabandha,Khunthabandha,600011
Baruwasagar,Address_line12,Address_line_13,Baruwasagar,Baruwasagar,Baruwasagar,600012
Katghora,Address_line13,Address_line_14,Katghora,Katghora,Katghora,600013
Gohad,Address_line14,Address_line_15,Gohad,Gohad,Gohad,600014
Beawar,Address_line15,Address_line_16,Beawar,Beawar,Beawar,600015
Kustagi,Address_line16,Address_line_17,Kustagi,Kustagi,Kustagi,600016
Ruperdeeha,Address_line17,Address_line_18,Ruperdeeha,Ruperdeeha,Ruperdeeha,600017
Varipaal,Address_line18,Address_line_19,Varipaal,Varipaal,Varipaal,600018
Charkhari,Address_line19,Address_line_20,Charkhari,Charkhari,Charkhari,600019
Lucknow,Address_line20,Address_line_21,Lucknow,Lucknow,Lucknow,600020
Ghatanji,Address_line21,Address_line_22,Ghatanji,Ghatanji,Ghatanji,600021
Dasda,Address_line22,Address_line_23,Dasda,Dasda,Dasda,600022
Talod(Harsol),Address_line23,Address_line_24,Talod(Harsol),Talod(Harsol),Talod(Harsol),600023
Mahidpur,Address_line24,Address_line_25,Mahidpur,Mahidpur,Mahidpur,600024
Pune,Address_line25,Address_line_26,Pune,Pune,Pune,600025
Lakhimpur,Address_line26,Address_line_27,Lakhimpur,Lakhimpur,Lakhimpur,600026
Hungund,Address_line27,Address_line_28,Hungund,Hungund,Hungund,600027
Nakrekal,Address_line28,Address_line_29,Nakrekal,Nakrekal,Nakrekal,600028
Dewas(F&V),Address_line29,Address_line_30,Dewas(F&V),Dewas(F&V),Dewas(F&V),600029
Indus(Bankura Sadar),Address_line30,Address_line_31,Indus(Bankura Sadar),Indus(Bankura Sadar),Indus(Bankura Sadar),600030
Gowribidanoor,Address_line31,Address_line_32,Gowribidanoor,Gowribidanoor,Gowribidanoor,600031
Ettumanoor,Address_line32,Address_line_33,Ettumanoor,Ettumanoor,Ettumanoor,600032
Mehekar,Address_line33,Address_line_34,Mehekar,Mehekar,Mehekar,600033
Rasda,Address_line34,Address_line_35,Rasda,Rasda,Rasda,600034
Angul(Jarapada),Address_line35,Address_line_36,Angul(Jarapada),Angul(Jarapada),Angul(Jarapada),600035
Angaura,Address_line36,Address_line_37,Angaura,Angaura,Angaura,600036
Ambad (Vadigodri),Address_line37,Address_line_38,Ambad (Vadigodri),Ambad (Vadigodri),Ambad (Vadigodri),600037
Bantwala,Address_line38,Address_line_39,Bantwala,Bantwala,Bantwala,600038
Garhshankar(Saila Khurd),Address_line39,Address_line_40,Garhshankar(Saila Khurd),Garhshankar(Saila Khurd),Garhshankar(Saila Khurd),600039
Mukkom,Address_line40,Address_line_41,Mukkom,Mukkom,Mukkom,600040
Thanesar,Address_line41,Address_line_42,Thanesar,Thanesar,Thanesar,600041
