statename,no_of_markets
State Names,NoOfMarkets
"Andhra Pradesh ",195
"Arunachal Pradesh ",15
"Assam ",25
"Bihar ",58
"Chandigarh ",1
"Chattisgarh ",189
"Goa ",8
"Gujarat ",305
"Haryana ",136
"Himachal Pradesh ",41
"Jammu and Kashmir ",35
"Jharkhand ",28
"Karnataka ",199
"Kerala ",113
"Madhya Pradesh ",293
"Maharashtra ",379
"Manipur ",5
"Meghalaya ",19
"Mizoram ",3
"Nagaland ",19
"NCT of Delhi ",7
"Odisha ",106
"Pondicherry ",4
"Punjab ",248
"Rajasthan ",156
"Sikkim ",7
"Tamil Nadu ",201
"Telangana ",167
"Tripura ",32
"Uttar Pradesh ",257
"Uttrakhand ",25
"West Bengal ",76
